@relation comments-sentiment-weka.filters.unsupervised.attribute.NumericToNominal-R1-4

@attribute Pos_words {0,1,2,3}
@attribute Neg_words {0,1,2,3,4}
@attribute Negation {0,1,2,3,4}
@attribute Sentiment {0}

@data
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,2,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,1,0
0,0,0,0
0,1,1,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,1,0
0,0,0,0
0,3,0,0
0,0,1,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,1,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
3,0,1,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
2,0,1,0
0,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
3,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
2,0,0,0
0,0,0,0
0,0,0,0
0,2,1,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,2,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
1,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,2,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
2,0,0,0
0,0,1,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
3,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,1,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,1,1,0
1,0,0,0
0,0,0,0
0,1,0,0
1,1,0,0
1,4,0,0
1,0,0,0
1,0,2,0
0,0,0,0
0,1,1,0
0,0,0,0
1,0,0,0
0,0,0,0
1,1,0,0
0,0,2,0
2,0,1,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,1,0
0,0,0,0
0,1,0,0
1,4,4,0
0,0,0,0
0,0,0,0
1,1,2,0
0,0,0,0
1,0,0,0
1,0,0,0
3,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,2,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,1,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
1,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
2,0,0,0
3,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,1,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
1,0,1,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,2,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,1,0
1,0,0,0
1,0,0,0
0,0,1,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,1,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,1,0
0,0,0,0
1,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
3,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,1,3,0
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
