@relation comments-sentiment

@attribute Pos_words numeric
@attribute Neg_words numeric
@attribute Negation numeric
@attribute Sentiment numeric

@data
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,1,0.184489
1,0,0,0.077827
1,0,2,0.166197
1,0,1,0.16523
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,1,0,0.308158
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
1,0,0,0.077827
0,1,0,0.325629
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
1,0,0,0.077827
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
1,0,0,0.077827
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
2,1,0,0.2698
0,0,0,0.094635
0,0,1,0.184489
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,2,0.165969
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,1,0.184489
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
1,0,0,0.077827
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,1,0.184489
0,0,1,0.184489
0,0,0,0.094635
0,0,0,0.094635
3,1,0,0.294914
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
1,0,0,0.077827
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,1,0.184489
0,0,0,0.094635
1,0,1,0.16523
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,1,0.184489
2,0,0,0.063977
1,0,0,0.077827
0,0,0,0.094635
0,1,0,0.325629
0,0,1,0.184489
0,0,1,0.184489
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,1,0.184489
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
2,0,0,0.063977
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,1,1,0.506613
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,1,0.184489
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,1,1,0.508464
1,0,1,0.16523
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
2,0,0,0.063977
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,1,0.184489
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,1,0,0.325629
0,0,0,0.094635
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,1,0.184489
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,2,0,0.419866
0,0,0,0.094635
0,0,1,0.184489
0,1,0,0.325629
0,0,0,0.094635
3,0,0,0.071429
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
2,0,1,0.139833
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,1,1,0.508464
0,1,1,0.508464
0,0,1,0.184489
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
2,0,0,0.063977
0,1,0,0.325629
1,0,0,0.077827
1,0,0,0.077827
0,0,0,0.094635
1,0,0,0.077827
1,0,0,0.077827
0,2,0,0.419866
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
2,0,0,0.063977
1,0,0,0.077827
2,0,0,0.063977
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,1,0.184489
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,1,1,0.508464
0,0,1,0.184489
2,0,0,0.063977
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,1,1,0.508464
0,1,0,0.325629
1,0,0,0.077827
1,0,0,0.077827
0,0,0,0.094635
0,0,1,0.184489
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,1,0,0.325629
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
1,0,0,0.077827
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
0,0,0,0.094635
